# time nsamples latency average
21:32:45 281 0.113320071174 0.129178369729
21:32:49 47 0.114808510638 0.114905259703
21:32:50 454 0.105306627753 0.116148545098
21:32:56 30 0.104905733333 0.113998997802
21:32:57 567 0.11008717284 0.113939822079
21:32:58 527 0.11541827704 0.113360020675
21:32:59 505 0.129487170297 0.112457503769
21:33:00 375 0.117996269333 0.11328505778
21:33:01 134 0.107275097015 0.11266367092
21:33:02 655 0.115186430534 0.113460758466
21:33:03 335 0.118278510448 0.113379135996
21:33:04 379 0.657072699208 0.113874979923
21:33:05 309 0.110483757282 0.16810139878
21:33:06 615 0.107774185366 0.168619111733
21:33:07 78 0.0995803717949 0.168905956936
21:33:18 501 0.106868285429 0.167855276832
21:33:23 46 0.0916883695652 0.167000277671
21:33:24 98 0.111230265306 0.163220397598
21:33:25 549 0.103567069217 0.162543797195
21:33:26 784 0.102624854592 0.162172994415
21:33:27 428 0.125762841121 0.160916836821
21:33:28 564 0.118301138298 0.161665269888
21:33:29 537 0.127326795158 0.107788113797
21:33:30 463 0.114236557235 0.109472417585
21:33:31 38 0.103814184211 0.110118654772
21:33:38 274 0.101442456204 0.110542036013
21:33:39 227 0.10884539207 0.109999453091
21:34:29 170 0.107713135294 0.111715155341
21:34:30 331 0.124632688822 0.11136344234
21:35:02 266 0.158498635338 0.113470004301
21:35:03 428 0.159565836449 0.119057382375
21:35:04 308 0.121924051948 0.122437681908
21:35:05 501 0.0951742974052 0.122799973273
21:35:06 535 0.109889996262 0.119584723498
21:35:07 467 0.112490254818 0.1191500674
21:35:08 514 0.131698587549 0.120017674461
21:35:09 426 0.156371399061 0.123043287595
21:35:10 337 0.131471872404 0.127795888295
21:35:11 226 0.134522982301 0.130171762005
21:36:20 331 0.112029166163 0.131160791353
21:36:21 170 0.104073282353 0.126513844436
21:38:49 115 0.102778921739 0.120964589026
21:38:50 708 0.108247371469 0.119050076005
21:38:51 497 0.11719116499 0.120357383412
21:38:52 447 0.158640069351 0.121087500285
21:38:53 340 0.138059694118 0.125702481738
21:38:54 354 0.0961483813559 0.126338592395
21:38:55 514 0.103585883268 0.120316290624
21:38:56 532 0.106554716165 0.117527691711
21:39:36 29 0.102391517241 0.114730865097
21:39:37 472 0.122400252119 0.113767100205
21:42:39 119 0.0982277731092 0.115599797182
21:42:40 382 0.107544777487 0.115144682319
21:42:42 470 0.116230359574 0.11507442292
21:42:43 31 0.109165870968 0.114978342379
21:42:49 191 0.110612109948 0.110030922541
21:42:50 310 0.113361051613 0.107286164124
21:43:04 260 0.107913315385 0.109007431149
21:43:05 614 0.115427346906 0.109440174361
21:43:06 128 0.0934373046875 0.110327437435
21:43:46 447 0.104959458613 0.10943201618
21:43:47 54 0.145621222222 0.107687936829
21:44:10 281 0.114152729537 0.11242728174
21:44:11 220 0.126152672727 0.113088076945
21:44:30 501 0.102756750499 0.114080308261
21:44:41 501 0.107441868263 0.113439396214
21:44:47 464 0.0950147435345 0.113122372045
21:44:48 37 0.112698621622 0.111287741237
21:44:49 486 0.125697746914 0.111766271861
21:44:50 449 0.107007242762 0.112793311862
21:44:51 568 0.117893540493 0.114150305669
21:44:52 501 0.117001634731 0.115443713857
21:44:53 669 0.111885835575 0.112581755108
21:44:54 431 0.105281828306 0.112355065712
21:44:55 568 0.100330003521 0.11026798127
